# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:02:25
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm E4/E20 Lilla Essingen;18644;Urban Traffic;18.00439;59.325527
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;2;344
#NOX as NO2;Nitrogen oxides;ug.m-3;2;345
#PM10;Particulate matter < 10 µm;ug.m-3;2;342
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;2;343
#
Start;Slut;NO2 (344);NOX as NO2 (345);PM10 (342);PM2.5 (343)
2015-01-02 22:00;2015-01-02 23:00;4.80;8.70;34.9;0.900
2015-01-02 23:00;2015-01-03 00:00;3.30;6.60;28.3;0.900
2015-01-03 00:00;2015-01-03 01:00;3.20;6.80;19.3;2.00
2015-01-03 01:00;2015-01-03 02:00;1.20;3.00;11.2;1.70
2015-01-03 02:00;2015-01-03 03:00;0.700;2.50;6.70;1.80
2015-01-03 03:00;2015-01-03 04:00;0.500;2.10;4.30;0.300
2015-01-03 04:00;2015-01-03 05:00;0.800;2.90;3.60;0.0
2015-01-03 05:00;2015-01-03 06:00;0.800;2.80;3.10;-0.100
2015-01-03 06:00;2015-01-03 07:00;1.90;5.20;7.80;0.500
2015-01-03 07:00;2015-01-03 08:00;2.90;6.70;23.5;2.60
2015-01-03 08:00;2015-01-03 09:00;5.50;11.5;25.5;1.20
2015-01-03 09:00;2015-01-03 10:00;7.00;14.0;35.8;0.400
2015-01-03 10:00;2015-01-03 11:00;9.10;17.4;32.9;0.400
2015-01-03 11:00;2015-01-03 12:00;11.6;21.8;36.1;1.20
2015-01-03 12:00;2015-01-03 13:00;14.9;29.1;35.5;2.00
2015-01-03 13:00;2015-01-03 14:00;13.1;25.9;37.3;1.40
2015-01-03 14:00;2015-01-03 15:00;14.7;29.0;37.4;2.20
2015-01-03 15:00;2015-01-03 16:00;16.8;32.8;39.4;1.50
2015-01-03 16:00;2015-01-03 17:00;17.3;32.6;35.3;1.60
2015-01-03 17:00;2015-01-03 18:00;17.6;32.3;37.2;1.30
2015-01-03 18:00;2015-01-03 19:00;19.0;35.5;38.7;0.700
2015-01-03 19:00;2015-01-03 20:00;11.8;21.0;24.2;0.100
2015-01-03 20:00;2015-01-03 21:00;8.20;14.9;21.6;0.600
2015-01-03 21:00;2015-01-03 22:00;8.80;15.5;23.7;0.700
2015-01-03 22:00;2015-01-03 23:00;8.30;14.6;18.4;0.800
2015-01-03 23:00;2015-01-04 00:00;6.90;13.1;13.3;0.400
2015-01-04 00:00;2015-01-04 01:00;4.80;10.1;13.0;-0.200
2015-01-04 01:00;2015-01-04 02:00;3.30;7.00;10.8;-0.100
2015-01-04 02:00;2015-01-04 03:00;2.60;6.70;9.10;-0.100
2015-01-04 03:00;2015-01-04 04:00;1.10;3.40;7.30;-0.700
2015-01-04 04:00;2015-01-04 05:00;1.30;3.90;9.10;-1.00
2015-01-04 05:00;2015-01-04 06:00;2.00;5.40;10.6;-0.400
2015-01-04 06:00;2015-01-04 07:00;3.50;9.00;14.7;-1.40
2015-01-04 07:00;2015-01-04 08:00;5.30;13.4;15.4;-0.400
2015-01-04 08:00;2015-01-04 09:00;5.80;12.5;14.1;-0.500
2015-01-04 09:00;2015-01-04 10:00;11.8;27.3;23.5;-0.800
2015-01-04 10:00;2015-01-04 11:00;14.8;32.6;36.0;-0.600
2015-01-04 11:00;2015-01-04 12:00;18.7;43.0;48.7;0.500
2015-01-04 12:00;2015-01-04 13:00;20.3;46.0;59.2;0.500
2015-01-04 13:00;2015-01-04 14:00;23.6;50.4;58.5;0.600
2015-01-04 14:00;2015-01-04 15:00;30.6;62.8;64.2;2.00
2015-01-04 15:00;2015-01-04 16:00;33.4;67.0;70.8;2.50
2015-01-04 16:00;2015-01-04 17:00;31.5;62.2;70.6;2.60
2015-01-04 17:00;2015-01-04 18:00;26.2;51.9;61.4;2.60
2015-01-04 18:00;2015-01-04 19:00;21.6;43.0;48.3;2.20
2015-01-04 19:00;2015-01-04 20:00;19.8;41.5;43.5;1.60
2015-01-04 20:00;2015-01-04 21:00;16.6;31.8;38.4;1.20
2015-01-04 21:00;2015-01-04 22:00;14.9;28.9;29.6;0.300
2015-01-04 22:00;2015-01-04 23:00;10.0;19.6;21.9;0.200
2015-01-04 23:00;2015-01-05 00:00;5.20;10.7;15.1;0.500
2015-01-05 00:00;2015-01-05 01:00;3.60;8.30;11.9;0.900
2015-01-05 01:00;2015-01-05 02:00;1.90;5.30;9.70;1.20
2015-01-05 02:00;2015-01-05 03:00;1.20;5.00;9.60;2.80
2015-01-05 03:00;2015-01-05 04:00;2.00;7.10;10.1;1.50
2015-01-05 04:00;2015-01-05 05:00;8.00;20.6;10.3;2.50
2015-01-05 05:00;2015-01-05 06:00;21.2;54.5;19.2;3.00
2015-01-05 06:00;2015-01-05 07:00;43.0;133.8;36.3;4.70
2015-01-05 07:00;2015-01-05 08:00;49.8;149.4;46.9;6.60
2015-01-05 08:00;2015-01-05 09:00;53.0;164.5;47.4;7.00
2015-01-05 09:00;2015-01-05 10:00;46.5;144.5;54.7;5.90
2015-01-05 10:00;2015-01-05 11:00;47.3;161.6;97.3;9.30
2015-01-05 11:00;2015-01-05 12:00;41.0;136.2;96.2;7.80
2015-01-05 12:00;2015-01-05 13:00;45.8;152.0;109.1;7.40
2015-01-05 13:00;2015-01-05 14:00;53.8;189.3;111.4;8.40
2015-01-05 14:00;2015-01-05 15:00;67.1;229.3;99.3;8.70
2015-01-05 15:00;2015-01-05 16:00;67.6;224.6;100.0;9.70
2015-01-05 16:00;2015-01-05 17:00;71.4;231.9;85.9;9.80
2015-01-05 17:00;2015-01-05 18:00;78.6;283.2;75.4;10.1
2015-01-05 18:00;2015-01-05 19:00;73.7;250.1;64.6;12.8
2015-01-05 19:00;2015-01-05 20:00;57.6;178.8;48.2;14.2
2015-01-05 20:00;2015-01-05 21:00;63.8;245.5;55.7;19.3
2015-01-05 21:00;2015-01-05 22:00;59.2;236.4;48.4;16.6
2015-01-05 22:00;2015-01-05 23:00;52.1;204.9;44.9;16.0
2015-01-05 23:00;2015-01-06 00:00;47.3;184.0;39.2;16.9
2015-01-06 00:00;2015-01-06 01:00;36.3;120.6;33.8;16.2
2015-01-06 01:00;2015-01-06 02:00;29.3;117.7;35.7;15.6
2015-01-06 02:00;2015-01-06 03:00;30.3;126.2;37.2;17.0
2015-01-06 03:00;2015-01-06 04:00;26.7;81.9;26.4;12.6
2015-01-06 04:00;2015-01-06 05:00;26.6;60.4;18.6;8.70
2015-01-06 05:00;2015-01-06 06:00;27.9;68.6;15.4;7.20
2015-01-06 06:00;2015-01-06 07:00;33.4;97.5;16.4;7.00
2015-01-06 07:00;2015-01-06 08:00;26.9;64.6;14.1;6.10
2015-01-06 08:00;2015-01-06 09:00;36.6;109.6;21.9;7.70
2015-01-06 09:00;2015-01-06 10:00;36.4;114.5;25.9;6.90
2015-01-06 10:00;2015-01-06 11:00;41.0;153.7;27.5;5.50
2015-01-06 11:00;2015-01-06 12:00;36.2;132.5;29.6;4.00
2015-01-06 12:00;2015-01-06 13:00;39.8;129.7;40.3;5.00
2015-01-06 13:00;2015-01-06 14:00;32.5;88.8;26.5;4.90
2015-01-06 14:00;2015-01-06 15:00;34.6;91.4;25.1;4.30
2015-01-06 15:00;2015-01-06 16:00;27.2;60.6;16.0;2.80
2015-01-06 16:00;2015-01-06 17:00;22.0;48.0;17.4;3.60
2015-01-06 17:00;2015-01-06 18:00;29.5;68.6;15.2;4.30
2015-01-06 18:00;2015-01-06 19:00;24.4;54.3;11.9;2.70
2015-01-06 19:00;2015-01-06 20:00;19.9;38.9;8.30;2.40
2015-01-06 20:00;2015-01-06 21:00;15.6;29.5;9.20;4.50
2015-01-06 21:00;2015-01-06 22:00;16.8;33.1;13.1;6.50
2015-01-06 22:00;2015-01-06 23:00;14.9;28.0;18.0;5.40
2015-01-06 23:00;2015-01-07 00:00;7.40;13.6;13.3;5.20
2015-01-07 00:00;2015-01-07 01:00;1.70;3.50;9.80;4.30
2015-01-07 01:00;2015-01-07 02:00;2.90;5.80;9.60;3.90
2015-01-07 02:00;2015-01-07 03:00;2.10;4.10;10.1;2.90
2015-01-07 03:00;2015-01-07 04:00;3.50;7.60;11.8;4.50
2015-01-07 04:00;2015-01-07 05:00;3.20;6.50;12.4;4.00
2015-01-07 05:00;2015-01-07 06:00;16.4;39.0;26.0;6.20
2015-01-07 06:00;2015-01-07 07:00;24.6;66.1;33.6;8.50
2015-01-07 07:00;2015-01-07 08:00;33.6;90.2;31.9;7.70
2015-01-07 08:00;2015-01-07 09:00;30.6;84.2;27.8;8.50
2015-01-07 09:00;2015-01-07 10:00;29.8;86.8;29.4;8.20
2015-01-07 10:00;2015-01-07 11:00;24.7;66.8;23.8;9.20
2015-01-07 11:00;2015-01-07 12:00;24.2;67.2;22.2;9.00
2015-01-07 12:00;2015-01-07 13:00;24.5;63.2;23.5;9.70
2015-01-07 13:00;2015-01-07 14:00;29.5;82.1;28.8;11.2
2015-01-07 14:00;2015-01-07 15:00;33.7;93.7;31.0;12.8
2015-01-07 15:00;2015-01-07 16:00;34.6;84.9;25.9;13.4
2015-01-07 16:00;2015-01-07 17:00;31.6;67.2;21.5;12.8
2015-01-07 17:00;2015-01-07 18:00;31.3;80.2;22.2;11.3
2015-01-07 18:00;2015-01-07 19:00;32.5;79.0;24.5;12.0
2015-01-07 19:00;2015-01-07 20:00;21.7;44.7;18.1;12.7
2015-01-07 20:00;2015-01-07 21:00;19.4;43.2;16.8;11.5
2015-01-07 21:00;2015-01-07 22:00;18.3;53.1;15.4;10.8
2015-01-07 22:00;2015-01-07 23:00;11.9;23.2;12.9;10.3
2015-01-07 23:00;2015-01-08 00:00;9.30;17.5;12.9;9.00
2015-01-08 00:00;2015-01-08 01:00;8.20;13.9;7.80;7.80
2015-01-08 01:00;2015-01-08 02:00;6.30;11.0;5.90;5.40
2015-01-08 02:00;2015-01-08 03:00;3.60;6.10;7.70;2.60
2015-01-08 03:00;2015-01-08 04:00;3.40;7.40;6.30;0.900
2015-01-08 04:00;2015-01-08 05:00;3.40;6.70;5.70;1.10
2015-01-08 05:00;2015-01-08 06:00;9.00;22.2;9.50;2.00
2015-01-08 06:00;2015-01-08 07:00;20.5;57.4;15.3;2.50
2015-01-08 07:00;2015-01-08 08:00;19.8;50.6;10.8;2.50
2015-01-08 08:00;2015-01-08 09:00;23.0;71.9;6.00;1.60
2015-01-08 09:00;2015-01-08 10:00;15.8;39.2;7.40;3.20
2015-01-08 10:00;2015-01-08 11:00;13.2;30.3;7.70;4.00
2015-01-08 11:00;2015-01-08 12:00;18.8;48.1;7.40;2.60
2015-01-08 12:00;2015-01-08 13:00;22.1;63.5;7.40;1.90
2015-01-08 13:00;2015-01-08 14:00;22.5;65.6;6.90;2.30
2015-01-08 14:00;2015-01-08 15:00;24.4;72.5;7.80;2.80
2015-01-08 15:00;2015-01-08 16:00;25.9;68.1;7.20;4.60
2015-01-08 16:00;2015-01-08 17:00;28.3;94.6;11.6;4.10
2015-01-08 17:00;2015-01-08 18:00;30.3;83.0;11.0;2.30
2015-01-08 18:00;2015-01-08 19:00;21.5;49.5;11.1;2.80
2015-01-08 19:00;2015-01-08 20:00;22.5;46.8;14.1;4.40
2015-01-08 20:00;2015-01-08 21:00;17.0;32.6;13.4;2.20
2015-01-08 21:00;2015-01-08 22:00;12.7;22.4;11.6;2.00
2015-01-08 22:00;2015-01-08 23:00;12.9;30.4;12.3;2.80
2015-01-08 23:00;2015-01-09 00:00;8.40;16.9;11.2;2.00
2015-01-09 00:00;2015-01-09 01:00;5.40;9.00;13.5;2.60
2015-01-09 01:00;2015-01-09 02:00;5.90;10.9;14.1;3.10
2015-01-09 02:00;2015-01-09 03:00;6.70;13.2;13.1;3.10
2015-01-09 03:00;2015-01-09 04:00;5.60;11.6;10.5;2.80
2015-01-09 04:00;2015-01-09 05:00;7.70;16.2;11.8;3.40
2015-01-09 05:00;2015-01-09 06:00;13.1;32.7;11.2;2.20
2015-01-09 06:00;2015-01-09 07:00;33.6;100.0;11.1;4.30
2015-01-09 07:00;2015-01-09 08:00;39.9;126.2;8.90;3.50
2015-01-09 08:00;2015-01-09 09:00;40.9;149.5;10.3;3.60
2015-01-09 09:00;2015-01-09 10:00;37.4;130.9;9.30;2.50
2015-01-09 10:00;2015-01-09 11:00;38.0;137.6;7.50;3.70
2015-01-09 11:00;2015-01-09 12:00;38.4;136.9;9.10;3.70
2015-01-09 12:00;2015-01-09 13:00;41.1;141.9;8.30;3.60
2015-01-09 13:00;2015-01-09 14:00;46.5;161.1;20.4;7.00
2015-01-09 14:00;2015-01-09 15:00;58.9;213.0;11.7;7.20
2015-01-09 15:00;2015-01-09 16:00;67.3;249.9;14.3;8.60
2015-01-09 16:00;2015-01-09 17:00;68.7;264.6;15.4;6.80
2015-01-09 17:00;2015-01-09 18:00;57.2;214.3;15.1;8.80
2015-01-09 18:00;2015-01-09 19:00;44.5;131.7;12.2;6.70
2015-01-09 19:00;2015-01-09 20:00;32.9;81.8;8.70;6.30
2015-01-09 20:00;2015-01-09 21:00;23.9;56.8;6.60;4.10
2015-01-09 21:00;2015-01-09 22:00;18.9;43.0;7.80;2.60
2015-01-09 22:00;2015-01-09 23:00;15.6;33.3;5.90;3.50
2015-01-09 23:00;2015-01-10 00:00;13.7;29.0;3.50;2.00
2015-01-10 00:00;2015-01-10 01:00;9.80;16.7;3.50;0.500
2015-01-10 01:00;2015-01-10 02:00;6.90;12.2;3.00;0.700
2015-01-10 02:00;2015-01-10 03:00;6.20;10.8;2.90;1.20
2015-01-10 03:00;2015-01-10 04:00;6.70;11.1;4.30;0.100
2015-01-10 04:00;2015-01-10 05:00;6.00;14.0;4.60;-0.800
2015-01-10 05:00;2015-01-10 06:00;5.40;12.7;6.80;0.300
2015-01-10 06:00;2015-01-10 07:00;9.90;28.1;3.90;0.900
2015-01-10 07:00;2015-01-10 08:00;14.0;38.2;3.60;-0.100
2015-01-10 08:00;2015-01-10 09:00;14.4;36.7;2.80;1.00
2015-01-10 09:00;2015-01-10 10:00;17.3;47.7;3.90;1.40
2015-01-10 10:00;2015-01-10 11:00;24.2;68.0;5.00;1.10
2015-01-10 11:00;2015-01-10 12:00;29.3;83.7;6.70;1.50
2015-01-10 12:00;2015-01-10 13:00;31.6;93.4;5.30;0.600
2015-01-10 13:00;2015-01-10 14:00;37.6;107.3;10.5;0.0
2015-01-10 14:00;2015-01-10 15:00;38.0;97.9;29.7;2.70
2015-01-10 15:00;2015-01-10 16:00;40.8;103.9;8.50;0.300
2015-01-10 16:00;2015-01-10 17:00;37.7;72.5;3.90;0.700
2015-01-10 17:00;2015-01-10 18:00;34.8;65.9;7.30;3.10
2015-01-10 18:00;2015-01-10 19:00;26.1;36.0;14.6;4.20
2015-01-10 19:00;2015-01-10 20:00;16.3;19.6;15.7;4.60
2015-01-10 20:00;2015-01-10 21:00;14.5;17.0;17.8;3.40
2015-01-10 21:00;2015-01-10 22:00;11.7;13.9;18.7;2.10
2015-01-10 22:00;2015-01-10 23:00;9.90;11.6;18.4;5.60
2015-01-10 23:00;2015-01-11 00:00;9.70;11.3;11.6;3.00
2015-01-11 00:00;2015-01-11 01:00;9.80;11.5;9.30;1.80
2015-01-11 01:00;2015-01-11 02:00;6.90;8.50;7.80;2.60
2015-01-11 02:00;2015-01-11 03:00;4.10;5.40;5.90;2.70
2015-01-11 03:00;2015-01-11 04:00;2.30;3.60;4.40;2.50
2015-01-11 04:00;2015-01-11 05:00;2.80;4.50;3.40;-1.00
2015-01-11 05:00;2015-01-11 06:00;3.20;5.30;2.20;-0.300
2015-01-11 06:00;2015-01-11 07:00;5.40;8.60;4.10;1.00
2015-01-11 07:00;2015-01-11 08:00;9.10;15.3;7.00;3.70
2015-01-11 08:00;2015-01-11 09:00;11.5;19.6;9.10;5.30
2015-01-11 09:00;2015-01-11 10:00;11.8;18.5;13.7;5.00
2015-01-11 10:00;2015-01-11 11:00;15.0;29.4;18.8;4.50
2015-01-11 11:00;2015-01-11 12:00;21.2;41.7;18.0;5.30
2015-01-11 12:00;2015-01-11 13:00;25.8;51.5;16.6;6.50
2015-01-11 13:00;2015-01-11 14:00;30.0;58.5;12.6;6.10
2015-01-11 14:00;2015-01-11 15:00;30.5;59.2;10.0;7.60
2015-01-11 15:00;2015-01-11 16:00;38.4;74.2;15.1;6.90
2015-01-11 16:00;2015-01-11 17:00;33.7;61.0;16.0;4.90
2015-01-11 17:00;2015-01-11 18:00;30.2;59.2;15.0;6.90
2015-01-11 18:00;2015-01-11 19:00;27.0;54.2;16.7;8.70
2015-01-11 19:00;2015-01-11 20:00;26.1;51.4;12.5;9.10
2015-01-11 20:00;2015-01-11 21:00;23.1;43.4;11.7;9.50
2015-01-11 21:00;2015-01-11 22:00;17.1;32.6;12.4;8.80
2015-01-11 22:00;2015-01-11 23:00;14.1;26.5;12.3;9.60
2015-01-11 23:00;2015-01-12 00:00;10.5;19.6;10.8;8.80
2015-01-12 00:00;2015-01-12 01:00;9.10;17.5;9.10;8.80
2015-01-12 01:00;2015-01-12 02:00;8.50;15.7;10.7;7.60
2015-01-12 02:00;2015-01-12 03:00;8.00;13.6;8.90;6.40
2015-01-12 03:00;2015-01-12 04:00;12.5;25.6;7.10;6.50
2015-01-12 04:00;2015-01-12 05:00;26.1;58.0;7.40;6.00
2015-01-12 05:00;2015-01-12 06:00;47.1;126.5;7.50;5.10
2015-01-12 06:00;2015-01-12 07:00;79.8;307.2;12.1;5.60
2015-01-12 07:00;2015-01-12 08:00;45.8;132.8;11.2;7.50
2015-01-12 08:00;2015-01-12 09:00;60.5;218.4;10.0;5.80
2015-01-12 09:00;2015-01-12 10:00;60.2;218.3;9.40;4.90
2015-01-12 10:00;2015-01-12 11:00;63.1;225.2;9.80;2.90
2015-01-12 11:00;2015-01-12 12:00;66.0;191.4;8.60;3.80
2015-01-12 12:00;2015-01-12 13:00;57.8;172.7;8.90;1.80
2015-01-12 13:00;2015-01-12 14:00;64.3;212.1;13.7;1.60
2015-01-12 14:00;2015-01-12 15:00;70.8;222.6;21.6;3.60
2015-01-12 15:00;2015-01-12 16:00;73.5;217.0;18.0;3.60
2015-01-12 16:00;2015-01-12 17:00;44.0;96.1;9.00;2.00
2015-01-12 17:00;2015-01-12 18:00;30.1;58.4;13.8;2.60
2015-01-12 18:00;2015-01-12 19:00;22.4;34.8;10.1;1.30
2015-01-12 19:00;2015-01-12 20:00;15.6;22.0;10.8;1.50
2015-01-12 20:00;2015-01-12 21:00;13.3;18.0;10.2;1.50
2015-01-12 21:00;2015-01-12 22:00;25.8;35.9;17.3;5.10
2015-01-12 22:00;2015-01-12 23:00;15.2;22.4;12.7;4.30
2015-01-12 23:00;2015-01-13 00:00;9.10;14.5;11.6;4.10
2015-01-13 00:00;2015-01-13 01:00;5.50;8.50;10.0;4.90
2015-01-13 01:00;2015-01-13 02:00;10.2;34.1;12.4;4.60
2015-01-13 02:00;2015-01-13 03:00;3.30;5.80;13.0;5.10
2015-01-13 03:00;2015-01-13 04:00;2.90;5.40;11.4;5.40
2015-01-13 04:00;2015-01-13 05:00;5.00;9.00;13.6;4.80
2015-01-13 05:00;2015-01-13 06:00;14.1;28.2;13.0;3.70
2015-01-13 06:00;2015-01-13 07:00;47.3;102.2;12.1;5.30
2015-01-13 07:00;2015-01-13 08:00;57.4;132.8;12.7;4.90
2015-01-13 08:00;2015-01-13 09:00;60.2;139.2;14.1;4.10
2015-01-13 09:00;2015-01-13 10:00;66.4;161.7;19.2;5.90
2015-01-13 10:00;2015-01-13 11:00;52.8;100.9;26.3;8.30
2015-01-13 11:00;2015-01-13 12:00;54.6;102.1;25.2;9.80
2015-01-13 12:00;2015-01-13 13:00;62.5;125.2;27.8;8.90
2015-01-13 13:00;2015-01-13 14:00;56.1;112.4;21.9;6.70
2015-01-13 14:00;2015-01-13 15:00;42.1;68.7;19.1;4.20
2015-01-13 15:00;2015-01-13 16:00;43.3;72.0;19.7;6.80
2015-01-13 16:00;2015-01-13 17:00;45.3;74.7;19.9;6.60
2015-01-13 17:00;2015-01-13 18:00;69.2;140.5;23.3;8.20
2015-01-13 18:00;2015-01-13 19:00;55.7;101.9;24.2;7.60
2015-01-13 19:00;2015-01-13 20:00;42.6;70.3;20.9;6.10
2015-01-13 20:00;2015-01-13 21:00;20.7;31.1;15.9;3.70
2015-01-13 21:00;2015-01-13 22:00;15.7;23.4;15.8;5.70
2015-01-13 22:00;2015-01-13 23:00;13.9;21.5;12.3;3.40
2015-01-13 23:00;2015-01-14 00:00;7.10;11.1;7.80;2.00
2015-01-14 00:00;2015-01-14 01:00;5.30;8.00;8.60;3.20
2015-01-14 01:00;2015-01-14 02:00;5.40;9.40;9.20;1.80
2015-01-14 02:00;2015-01-14 03:00;5.90;9.90;11.4;2.60
2015-01-14 03:00;2015-01-14 04:00;6.30;9.80;11.7;3.00
2015-01-14 04:00;2015-01-14 05:00;12.8;18.8;9.20;1.60
2015-01-14 05:00;2015-01-14 06:00;22.1;37.2;10.6;1.30
2015-01-14 06:00;2015-01-14 07:00;46.1;102.5;9.80;1.50
2015-01-14 07:00;2015-01-14 08:00;54.6;120.7;7.80;0.800
2015-01-14 08:00;2015-01-14 09:00;54.8;121.3;6.90;1.80
2015-01-14 09:00;2015-01-14 10:00;63.0;163.4;6.90;1.40
2015-01-14 10:00;2015-01-14 11:00;54.5;108.3;5.80;1.30
2015-01-14 11:00;2015-01-14 12:00;61.9;124.9;7.50;1.70
2015-01-14 12:00;2015-01-14 13:00;64.0;137.5;6.30;1.00
2015-01-14 13:00;2015-01-14 14:00;64.7;144.1;6.10;1.80
2015-01-14 14:00;2015-01-14 15:00;59.6;109.7;9.30;2.80
2015-01-14 15:00;2015-01-14 16:00;61.7;116.1;9.30;4.00
2015-01-14 16:00;2015-01-14 17:00;68.4;162.4;8.60;3.90
2015-01-14 17:00;2015-01-14 18:00;44.6;79.1;10.1;3.50
2015-01-14 18:00;2015-01-14 19:00;42.0;71.2;10.9;3.40
2015-01-14 19:00;2015-01-14 20:00;35.2;55.2;9.90;3.20
2015-01-14 20:00;2015-01-14 21:00;33.3;54.1;9.20;3.40
2015-01-14 21:00;2015-01-14 22:00;27.4;44.3;7.40;1.30
2015-01-14 22:00;2015-01-14 23:00;19.7;28.3;5.80;1.80
2015-01-14 23:00;2015-01-15 00:00;14.1;20.9;5.40;2.20
2015-01-15 00:00;2015-01-15 01:00;7.90;10.6;3.80;0.0
2015-01-15 01:00;2015-01-15 02:00;6.10;9.00;3.50;0.0
2015-01-15 02:00;2015-01-15 03:00;4.00;6.80;6.70;1.00
2015-01-15 03:00;2015-01-15 04:00;4.10;6.90;6.00;1.00
2015-01-15 04:00;2015-01-15 05:00;7.30;13.3;7.10;1.80
2015-01-15 05:00;2015-01-15 06:00;21.6;41.0;9.90;2.20
2015-01-15 06:00;2015-01-15 07:00;55.9;138.9;11.6;2.90
2015-01-15 07:00;2015-01-15 08:00;49.6;103.7;10.2;2.40
2015-01-15 08:00;2015-01-15 09:00;43.6;92.8;9.80;3.30
2015-01-15 09:00;2015-01-15 10:00;49.5;117.9;10.6;1.60
2015-01-15 10:00;2015-01-15 11:00;46.2;98.1;12.3;2.70
2015-01-15 11:00;2015-01-15 12:00;53.3;121.7;11.5;0.800
